x,y
1.791221,-3.038296
1.754147,-3.088285
1.526324,-3.339649
1.27496,-3.567472
1.002476,-3.76956
0.711496,-3.943967
0.404822,-4.089013
0.085408,-4.203301
-0.243671,-4.285731
-0.579244,-4.335508
-0.91808,-4.352154
-1.256917,-4.335508
-1.59249,-4.285731
-1.921569,-4.203301
-2.240983,-4.089013
-2.547657,-3.943967
-2.838637,-3.76956
-3.111121,-3.567472
-3.362485,-3.339649
-3.590308,-3.088285
-3.792396,-2.8158
-3.966803,-2.52482
-4.111849,-2.218146
-4.226137,-1.898732
-4.308567,-1.569654
-4.358345,-1.234081
-4.374991,-0.895244
-4.358345,-0.556408
-4.308567,-0.220835
-4.226137,0.108244
-4.111849,0.427658
-3.966803,0.734332
-3.792396,1.025312
-3.590308,1.297796
-3.362485,1.54916
-3.111121,1.776983
-2.838637,1.979071
-2.547657,2.153478
-2.240983,2.298524
-1.921569,2.412812
-1.59249,2.495242
-1.256917,2.54502
-0.918081,2.561666
-0.579244,2.54502
-0.535987,2.538603
-0.573568,2.487931
-0.683247,2.304943
-0.774461,2.112086
-0.846333,1.911216
-0.898171,1.70427
-0.929474,1.493239
-0.939942,1.280156
-0.929474,1.067072
-0.898171,0.856041
-0.846333,0.649095
-0.774461,0.448226
-0.683247,0.255368
-0.573568,0.07238
-0.446481,-0.098976
-0.303211,-0.257051
-0.145136,-0.400321
0.003893,-0.510849
-0.021519,-0.682161
-0.031987,-0.895244
-0.021519,-1.108327
0.009785,-1.319358
0.061622,-1.526305
0.133494,-1.727174
0.224709,-1.920031
0.334388,-2.103019
0.461475,-2.274376
0.604745,-2.432451
0.76282,-2.575721
0.934176,-2.702808
1.117164,-2.812486
1.310021,-2.903701
1.51089,-2.975573
1.717837,-3.027411
1.791221,-3.038296
